Name,Siblings and Spouses,female,Cabin Class 3,"Age (20, 28]","Age (28, 38]","Age (38, 80]",Mrs.,Miss,VIP,Survived,survival_prob
"Karun, Miss. Manca",0,1,1,0,0,0,0,1,0,1,0.6163666169197053
"Hogeboom, Mrs. John C (Anna Andrews)",1,1,0,0,0,1,1,0,0,1,0.852824481349832
"Carr, Miss. Helen ""Ellen""",0,1,1,0,0,0,0,1,0,1,0.6163666169197053
"Rosblom, Mrs. Viktor (Helena Wilhelmina)",0,1,1,0,0,1,1,0,0,0,0.5948561476573384
"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",1,1,0,0,0,1,1,0,0,1,0.852824481349832
"Wilhelms, Mr. Charles",0,0,0,0,1,0,0,0,0,1,0.35465951604360335
"Moor, Mrs. (Beila)",0,1,1,1,0,0,1,0,0,1,0.6766900558085546
"Panula, Mr. Ernesti Arvid",4,0,1,0,0,0,0,0,0,0,0.0577256225374774
"Ayoub, Miss. Banoura",0,1,1,0,0,0,0,1,0,1,0.6163666169197053
"Hocking, Mrs. Elizabeth (Eliza Needs)",1,1,0,0,0,1,1,0,0,1,0.852824481349832
"Walker, Mr. William Anderson",0,0,0,0,0,1,0,0,0,0,0.2772421730041599
"Palsson, Master. Gosta Leonard",3,0,1,0,0,0,0,0,0,0,0.0721381604581688
"Gaskell, Mr. Alfred",0,0,0,0,0,0,0,0,0,0,0.44317990401250273
"Gustafsson, Mr. Karl Gideon",0,0,1,0,0,0,0,0,0,0,0.13712078116364282
"Vande Walle, Mr. Nestor Cyriel",0,0,1,1,0,0,0,0,0,0,0.09842889641976829
"Hunt, Mr. George Henry",0,0,0,0,1,0,0,0,0,0,0.35465951604360335
"Goldsmith, Master. Frank John William ""Frankie""",0,0,1,0,0,0,0,0,0,1,0.13712078116364282
"Barbara, Mrs. (Catherine David)",0,1,1,0,0,1,1,0,0,0,0.5948561476573384
"Rugg, Miss. Emily",0,1,0,1,0,0,0,1,0,1,0.8468244587927797
"Futrelle, Mr. Jacques Heath",1,0,0,0,1,0,0,0,0,0,0.3021848048724097
"Doling, Miss. Elsie",0,1,0,0,0,0,0,1,0,1,0.8894662583585115
"Bing, Mr. Lee",0,0,1,0,1,0,0,0,0,1,0.09887692016763006
